record_id,at_bats,plate_appearance,hits,doubles,triples,home_runs,strikeouts,walks,hit_by_pitch,sacrifice_flies,double_play,triple_play,rbis,runs,stolen_bases,caught_stealing,remarks
23831,2,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,"1-2 | 2B, RBI"
23847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
23848,3,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,"1-3 | BB, K"
23851,3,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2-3 | K
23659,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-1
23662,4,5,0,0,0,0,1,1,0,0,0,0,1,0,0,0,"0-4 | BB, K, RBI"
23665,2,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"0-2 | BB, K"
23679,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"0-1 | BB, R"
23681,2,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,"0-2 | HBP, K"
23686,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-2
23691,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-4
23692,2,2,1,1,0,0,1,0,0,0,0,0,0,1,0,0,"1-2 | 2B, K, R"
23701,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,"0-0 | 2 BB, RBI"
23703,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"0-1 | BB, K"
23714,1,2,0,0,0,0,1,1,0,0,0,0,0,1,0,0,"0-1 | BB, K, R"
23715,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1-3
23717,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1-1 | BB
23725,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"0-1 | BB, K"
23727,3,3,2,0,0,0,1,0,0,0,0,0,1,0,0,0,"2-3 | K, RBI"
23731,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1-2
23735,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0-3 | K
23966,3,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"0-3 | BB, K"
23968,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0-2 | R
23972,3,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,"1-3 | 2B, K"
23974,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-1
23977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
23983,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0-0 | BB
23984,3,3,1,0,0,1,1,0,0,0,0,0,2,1,0,0,"1-3 | HR, K, 2 RBI"
23986,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0-3 | K
23989,2,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,"0-2 | 2 K, R"
23994,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0-1
23997,3,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1-3 | R
23998,1,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,"1-1 | BB, R"
24001,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0-2 | K
24006,2,3,2,0,0,0,0,1,0,0,0,0,1,0,0,0,"2-2 | BB, RBI"
24027,3,3,1,0,0,0,0,0,0,0,0,0,1,0,1,0,"1-3 | RBI, SB"
24030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
24066,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-2
24072,2,3,1,0,0,0,1,1,0,0,0,0,1,0,0,0,"1-2 | BB, K, RBI"
24076,3,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0-3 | 2 K
23863,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0-3 | 3 K
23868,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1-1 | BB
23880,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-2
23890,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1-2 | R
23906,1,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,"0-1 | BB, R"
23912,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1-1
23914,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0-1 | K
23915,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2-2 | R
23921,2,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,"1-2 | K, R"
23922,4,4,1,1,0,0,1,0,0,0,0,0,2,0,0,0,"1-4 | 2B, K, 2 RBI"
23934,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0-2 | 2 K
23935,2,2,1,1,0,0,1,0,0,0,0,0,1,1,0,0,"1-2 | 2B, K, RBI"
23937,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0-1 | K
23940,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1-2
23946,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-1
23948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
23952,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0-2 | 2 K
23956,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0-2 | K
23958,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1-2
23960,2,2,1,0,0,0,0,0,0,0,0,0,2,0,0,1,"1-2 | 2 RBI, CS"
24226,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0-4 | 2 K
24227,2,4,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1-2 | 2 BB
24231,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1-1 | SB
24245,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-1
24253,3,4,1,0,0,1,1,1,0,0,0,0,2,2,0,0,"1-3 | HR, BB, K"
24278,3,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,"1-3 | 2B, RBI"
24279,4,4,1,0,0,0,2,0,0,0,0,0,0,1,0,0,"1-4 | 2 K, R"
24286,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-2
24301,2,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1-2 | HBP
24306,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0-1 | K
